slug,name,borough,neighborhood,address,cuisines,price_tiers,meal_periods,weeks,sunday_participation,menu_url,reservation_link,listing_url,website,menu_parse_quality
100-feast,100 Feast,Manhattan,Chinatown,"100 E. Broadway, 2nd fl. & 3rd fl., Manhattan, NY, 10002","[""Chinese"", ""Japanese / Sushi""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/51359-100Feast-menu.pdf,https://www.opentable.com/restref/client/?rid=1521256,https://www.nyctourism.com/restaurant-week/100-feast/,https://www.100feast.com/en,failed
1803-nyc,1803 NYC,Manhattan,Tribeca,"82 Reade St., Manhattan, NY, 10007","[""Cajun/Creole""]","[""$30"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/50501-1803NYC-menu.pdf,,https://www.nyctourism.com/restaurant-week/1803-nyc/,https://1803nyc.com,partial
five-napkin-burger-hells-kitchen,5 Napkin Burger - Hell's Kitchen,Manhattan,Hells Kitchen,"630 Ninth Ave., Manhattan, NY, 10036","[""Burgers"", ""American (Traditional)""]","[""$30""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/41741-5NapkinBurger-Hell%27sKitchen-menu.pdf,https://www.opentable.com/restref/client/?rid=22765,https://www.nyctourism.com/restaurant-week/five-napkin-burger-hells-kitchen/,https://www.5napkinburger.com/location/hell-s-kitchen-5napkinburger,partial
53,53,Manhattan,Midtown West,"53 W. 53rd St., Manhattan, NY, 10019","[""Pan-Asian""]","[""$45""]","[""brunch"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",1,,,https://www.nyctourism.com/restaurant-week/53/,https://53-nyc.com,
8282,8282,Manhattan,Lower East Side,"84 Stanton St., Manhattan, NY, 10002","[""Korean""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,,https://www.nyctourism.com/restaurant-week/8282/,https://www.eightwoeightwo.com,
a-la-turka,A La Turka,Manhattan,Upper East Side,"1417 Second Ave., Manhattan, NY, 10021","[""Turkish"", ""Mediterranean""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/46105-ALaTurka-menu.pdf,https://www.opentable.com/restref/client/?rid=35173,https://www.nyctourism.com/restaurant-week/a-la-turka/,https://www.alaturkany.com,partial
a-pasta-bar,A Pasta Bar,Manhattan,Soho,"330 West Broadway, Manhattan, NY, 10013","[""Italian""]","[""$45"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/50504-PastaBar-menu.pdf,,https://www.nyctourism.com/restaurant-week/a-pasta-bar/,https://apastabar.com,failed
abc-cocina,ABC Cocina,Manhattan,Union Square,"38 E. 19th St., Manhattan, NY, 10003","[""Latin American"", ""Spanish""]","[""$45"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=1286,https://www.nyctourism.com/restaurant-week/abc-cocina/,https://www.abccocina.nyc,
abc-kitchen,ABC Kitchen,Manhattan,Union Square,"35 E. 18th St., Manhattan, NY, 10003","[""American (New)""]","[""$45"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=570,https://www.nyctourism.com/restaurant-week/abc-kitchen/,https://www.abckitchen.nyc,
abc-kitchens-dumbo,ABC Kitchens DUMBO,Brooklyn,Dumbo,"55 Water St., Brooklyn, NY, 11201","[""American (New)""]","[""$45"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=1464439,https://www.nyctourism.com/restaurant-week/abc-kitchens-dumbo/,https://www.abckitchensdumbo.com,
